City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Ostrovnoy,RU,68.0531,39.5131,32.65,88,100,8.7,overcast clouds
222,Anadyr,RU,64.75,177.4833,57.7,54,0,4.47,clear sky
223,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,80,11,5.14,few clouds
224,Stornoway,GB,58.2093,-6.3865,49.96,90,75,20.71,moderate rain
225,Eyl,SO,7.9803,49.8164,81.1,71,4,18.07,clear sky
226,Esil,KZ,51.9556,66.4042,63.34,41,100,12.86,overcast clouds
227,Teahupoo,PF,-17.8333,-149.2667,80.56,72,41,12.12,scattered clouds
228,Sulangan,PH,11.1373,123.7228,83.71,72,32,6.08,scattered clouds
229,Ormara,PK,25.2088,64.6357,82.09,84,36,6.46,scattered clouds
230,Ngaoundere,CM,7.3167,13.5833,63.73,90,97,2.77,light rain
231,Souillac,MU,-20.5167,57.5167,70.18,94,40,3.44,light rain
232,Menongue,AO,-14.6585,17.691,47.86,51,2,3.2,clear sky
233,Skjervoy,NO,70.0311,20.9714,53.6,69,100,14.83,overcast clouds
234,Touros,BR,-5.1989,-35.4608,74.34,91,18,6.38,few clouds
235,Manicore,BR,-5.8092,-61.3003,76.95,94,100,1.14,fog
236,Klyuchevsk,RU,57.1216,60.9414,53.53,98,100,6.93,overcast clouds
237,Te Anau,NZ,-45.4167,167.7167,48.24,84,100,4.03,overcast clouds
238,Solnechnyy,RU,50.7214,136.6319,49.39,56,100,6.49,overcast clouds
239,Leua,SK,48.2156,18.6071,60.55,90,90,5.23,overcast clouds
240,Jiwani,PK,25.05,61.7417,82.81,89,0,5.82,clear sky
241,Nelson Bay,AU,-32.7167,152.15,64.0,95,10,1.99,clear sky
242,Shache,CN,38.4167,77.2406,68.27,42,8,4.25,clear sky
243,Mar Del Plata,AR,-38.0023,-57.5575,46.94,89,95,1.01,overcast clouds
244,Bardiyah,LY,31.7561,25.0865,67.84,57,0,4.21,clear sky
245,Cockburn Town,TC,21.4612,-71.1419,79.23,70,0,19.82,clear sky
246,Port Blair,IN,11.6667,92.75,82.85,79,43,18.66,scattered clouds
247,Scarborough,GB,54.2797,-0.4044,49.33,85,76,3.0,broken clouds
248,Tibiri,NE,13.5627,7.0485,84.63,8,5,5.99,clear sky
249,Bilibino,RU,68.0546,166.4372,50.09,59,93,10.25,overcast clouds
250,Lorengau,PG,-2.0226,147.2712,85.08,68,69,6.71,broken clouds
251,Cherskiy,RU,68.75,161.3,50.07,49,4,6.02,clear sky
252,Kishanpur,IN,25.65,81.0167,84.34,41,0,1.79,clear sky
253,Luanda,AO,-8.8368,13.2343,69.67,90,97,7.14,overcast clouds
254,Dzhebariki-Khaya,RU,62.2167,135.8,46.92,74,100,7.16,overcast clouds
255,Vao,NC,-22.6667,167.4833,74.59,78,17,12.62,few clouds
256,Muisne,EC,0.6,-80.0333,76.33,85,100,8.37,overcast clouds
257,Bandarbeyla,SO,9.4942,50.8122,80.91,76,49,21.56,scattered clouds
258,Washougal,US,45.5826,-122.3534,65.07,69,100,4.0,overcast clouds
259,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.33,97,12,2.95,few clouds
260,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,45,0,10.36,clear sky
261,Chapais,CA,49.7834,-74.8492,51.58,61,9,6.49,clear sky
262,Yuryevets,RU,57.3201,43.1041,31.96,93,35,9.31,scattered clouds
263,Ipixuna,BR,-1.7625,-48.8043,73.29,95,96,4.27,heavy intensity rain
264,Kloulklubed,PW,7.0419,134.2556,79.3,80,100,17.52,heavy intensity rain
265,Adre,TD,13.4667,22.2,78.75,11,100,7.63,overcast clouds
266,Jejuri,IN,18.2833,74.1667,74.16,74,35,8.79,scattered clouds
267,Batagay,RU,67.6333,134.6333,51.26,51,100,9.86,overcast clouds
268,Okha,RU,53.5739,142.9478,35.08,90,100,15.43,overcast clouds
269,Bullhead City,US,35.1478,-114.5683,101.62,5,0,12.66,clear sky
270,Veraval,IN,20.9,70.3667,83.05,74,100,10.33,overcast clouds
271,Anloga,GH,5.7947,0.8973,78.24,84,53,4.97,moderate rain
272,Roma,US,43.2128,-75.4557,64.54,67,75,5.75,broken clouds
273,Leningradskiy,RU,69.3833,178.4167,49.62,63,100,10.67,overcast clouds
274,Yulara,AU,-25.2406,130.9889,70.56,44,0,8.86,clear sky
275,Alofi,NU,-19.0595,-169.9187,82.29,74,80,10.36,broken clouds
276,Yar-Sale,RU,66.8333,70.8333,37.49,80,12,7.61,few clouds
277,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,79,100,12.66,overcast clouds
278,San Miguel,SV,13.4833,-88.1833,77.14,89,100,2.75,overcast clouds
279,Barcelona,ES,41.3888,2.159,59.77,83,75,5.75,light rain
280,Kavaratti,IN,10.5669,72.642,83.26,77,13,10.47,few clouds
281,Tilichiki,RU,60.4667,166.1,46.35,70,68,4.97,broken clouds
282,Udachnyy,RU,66.4167,112.4,39.45,51,93,11.05,overcast clouds
283,Sakakah,SA,29.9697,40.2064,72.97,30,0,8.32,clear sky
284,Pangnirtung,CA,66.1451,-65.7125,19.08,85,100,7.78,overcast clouds
285,Sheksna,RU,59.21,38.5107,27.64,96,11,5.41,few clouds
286,Oksfjord,NO,70.2396,22.3479,53.78,59,100,12.12,overcast clouds
287,Fairbanks,US,64.8378,-147.7164,65.61,26,0,10.36,clear sky
288,Khed Brahma,IN,24.0333,73.05,81.48,73,0,8.55,clear sky
289,Dalvik,IS,65.9702,-18.5286,37.33,91,94,4.41,overcast clouds
290,Inhambane,MZ,-23.865,35.3833,65.66,93,0,6.71,clear sky
291,Santa Maria,BR,-29.6842,-53.8069,61.0,86,97,4.63,overcast clouds
292,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,88,20,8.16,few clouds
293,Bajil,YE,15.0584,43.2851,82.08,76,8,4.14,clear sky
294,Atbasar,KZ,51.8,68.3333,61.41,47,100,7.58,overcast clouds
295,Aloleng,PH,16.1307,119.7824,84.42,75,94,7.65,overcast clouds
296,Rawicz,PL,51.6095,16.8585,59.94,92,96,3.85,overcast clouds
297,Acapulco,MX,16.8634,-99.8901,82.22,78,75,10.36,broken clouds
298,Natal,BR,-5.795,-35.2094,75.85,100,75,3.44,moderate rain
299,Lethem,GY,3.3803,-59.7968,75.88,87,33,7.74,scattered clouds
300,Orchard Homes,US,46.8633,-114.0484,62.28,43,20,4.61,few clouds
301,Nuuk,GL,64.1835,-51.7216,25.41,86,75,6.91,broken clouds
302,Kalmunai,LK,7.4167,81.8167,79.07,81,100,6.02,overcast clouds
303,Noyabrsk,RU,63.1994,75.4507,52.57,68,100,3.87,overcast clouds
304,Ahipara,NZ,-35.1667,173.1667,63.36,61,57,10.31,broken clouds
305,Liwale,TZ,-9.7667,37.9333,63.61,95,73,1.81,broken clouds
306,Luderitz,NA,-26.6481,15.1594,58.57,69,0,6.49,clear sky
307,Andover,GB,51.2083,-1.4825,50.49,91,29,6.91,scattered clouds
308,Rudsar,IR,37.1376,50.288,62.58,91,62,4.0,broken clouds
309,Belyy Yar,RU,53.6039,91.3903,64.29,63,0,6.71,clear sky
310,Kirkwood,US,38.5834,-90.4068,71.28,77,100,3.0,overcast clouds
311,Kenai,US,60.5544,-151.2583,54.03,63,40,14.97,scattered clouds
312,Salalah,OM,17.0151,54.0924,82.49,89,40,2.3,scattered clouds
313,Vostok,RU,46.4856,135.8833,55.31,94,100,0.67,overcast clouds
314,Kushima,JP,31.4583,131.2333,69.57,83,96,7.27,overcast clouds
315,Inongo,CD,-1.95,18.2667,68.65,96,99,0.72,overcast clouds
316,Limbe,CM,4.0242,9.2149,75.63,90,21,2.21,light rain
317,Tynset,NO,62.2759,10.7824,49.62,95,100,8.12,overcast clouds
318,Itarema,BR,-2.9248,-39.9167,74.73,90,47,9.1,scattered clouds
319,Hailar,CN,49.2,119.7,65.59,29,64,12.39,broken clouds
320,Negombo,LK,7.2083,79.8358,78.94,85,100,9.64,overcast clouds
321,Sorland,NO,67.667,12.6934,49.86,76,100,10.71,overcast clouds
322,Camacha,PT,33.0833,-16.3333,62.02,59,40,11.5,scattered clouds
323,Cidreira,BR,-30.1811,-50.2056,63.66,84,10,7.07,clear sky
324,Talcahuano,CL,-36.7167,-73.1167,51.48,87,75,3.44,broken clouds
325,Awbari,LY,26.5921,12.7805,82.45,15,0,5.41,clear sky
326,Ambon,ID,-3.6954,128.1814,78.94,94,40,3.44,light rain
327,College,US,64.8569,-147.8028,66.47,27,40,10.36,scattered clouds
328,Matara,LK,5.9485,80.5353,77.04,89,100,7.27,overcast clouds
329,Dodola,ET,6.9833,39.1833,51.55,85,94,2.66,overcast clouds
330,Pearland,US,29.5636,-95.286,80.65,79,0,9.22,clear sky
331,Mercedes,AR,-34.6515,-59.4307,53.64,76,53,8.41,broken clouds
332,Jesup,US,31.6074,-81.8854,77.34,81,96,7.61,overcast clouds
333,Feijo,BR,-8.1642,-70.3536,72.39,95,100,1.57,overcast clouds
334,Peiting,DE,47.8,10.9333,53.51,93,100,0.0,moderate rain
335,Daru,PG,-9.0763,143.2092,84.2,72,20,11.12,few clouds
336,Mulege,MX,26.8833,-111.9833,81.63,43,0,5.93,clear sky
