City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Souillac,MU,2022-05-22 02:45:36,-20.5167,57.5167,70.18,83,40,16.11
152,Buala,SB,2022-05-22 02:45:36,-8.145,159.5921,85.95,63,18,4.16
153,Ciudad Bolivar,VE,2022-05-22 02:45:36,8.1222,-63.5497,81.63,62,36,12.5
154,Deputatskiy,RU,2022-05-22 02:45:37,69.3,139.9,30.97,100,100,1.36
155,Coquimbo,CL,2022-05-22 02:45:37,-29.9533,-71.3436,55.13,100,88,1.14
156,Balikpapan,ID,2022-05-22 02:45:37,-1.2675,116.8289,85.19,74,20,3.44
157,Woodward,US,2022-05-22 02:43:35,36.4337,-99.3904,56.43,54,0,8.05
158,Dunedin,NZ,2022-05-22 02:45:38,-45.8742,170.5036,53.8,60,100,15.01
159,Cheremshan,RU,2022-05-22 02:45:39,54.6667,51.5,36.97,83,34,9.71
160,Paka,MY,2022-05-22 02:45:39,4.6374,103.4368,84.13,84,20,4.61
161,Fomboni,KM,2022-05-22 02:45:39,-12.28,43.7425,79.34,77,11,9.71
162,Cockburn Town,TC,2022-05-22 02:43:00,21.4612,-71.1419,79.45,82,100,18.3
163,Guerrero Negro,MX,2022-05-22 02:45:40,27.9769,-114.0611,61.25,77,92,14.2
164,Cherskiy,RU,2022-05-22 02:45:40,68.75,161.3,59.02,36,16,14.18
165,Cidreira,BR,2022-05-22 02:45:41,-30.1811,-50.2056,56.68,79,94,5.3
166,Blyth,GB,2022-05-22 02:45:41,55.1271,-1.5086,52.59,81,98,4.61
167,Krasnoselkup,RU,2022-05-22 02:45:41,65.7,82.4667,49.06,60,15,0.98
168,Shirokiy,RU,2022-05-22 02:45:42,49.758,129.523,64.36,33,44,8.32
169,Dikson,RU,2022-05-22 02:45:42,73.5069,80.5464,27.77,90,52,10.6
170,Samarai,PG,2022-05-22 02:45:43,-10.6167,150.6667,82.9,75,93,9.33
171,Barcelona,ES,2022-05-22 02:45:43,41.3888,2.159,76.71,45,0,2.3
172,Umm Lajj,SA,2022-05-22 02:45:43,25.0213,37.2685,79.48,66,0,10.27
173,Tura,IN,2022-05-22 02:45:44,25.5198,90.2201,81.19,69,13,2.77
174,Naze,JP,2022-05-22 02:45:44,28.3667,129.4833,76.12,73,93,10.56
175,Luderitz,NA,2022-05-22 02:45:45,-26.6481,15.1594,55.49,61,7,10.38
176,Bacarra,PH,2022-05-22 02:45:45,18.2529,120.6125,78.66,94,75,4.61
177,Berdigestyakh,RU,2022-05-22 02:45:45,62.0989,126.6992,59.63,35,93,1.39
178,Narsaq,GL,2022-05-22 02:45:46,60.9167,-46.05,37.62,80,100,2.1
179,Itoman,JP,2022-05-22 02:45:46,26.1247,127.6694,80.98,76,40,13.8
180,Maltahohe,NA,2022-05-22 02:45:46,-24.8333,16.9833,41.47,75,37,5.64
181,Geraldton,AU,2022-05-22 02:45:47,-28.7667,114.6,73.81,60,12,21.85
182,Ilulissat,GL,2022-05-22 02:46:47,69.2167,-51.1,33.82,86,100,0.0
183,Elat,IL,2022-05-22 02:46:48,29.5581,34.9482,78.64,50,0,9.22
184,Mollendo,PE,2022-05-22 02:46:48,-17.0231,-72.0147,64.26,86,100,6.17
185,Grindavik,IS,2022-05-22 02:46:48,63.8424,-22.4338,44.55,87,0,18.41
186,Sao Jose Da Coroa Grande,BR,2022-05-22 02:46:49,-8.8978,-35.1478,77.04,84,94,13.56
187,Dashitou,CN,2022-05-22 02:46:49,43.3067,128.5114,67.96,35,7,7.4
188,Sumbe,AO,2022-05-22 02:46:50,-11.2061,13.8437,70.61,86,11,3.15
189,Ishigaki,JP,2022-05-22 02:46:50,24.3448,124.1572,78.93,83,75,10.36
190,Khvorostyanka,RU,2022-05-22 02:46:50,52.6096,48.9597,44.73,68,98,5.37
191,Santa Rosa,PH,2022-05-22 02:46:51,14.3122,121.1114,89.58,76,93,1.07
192,Tuatapere,NZ,2022-05-22 02:46:51,-46.1333,167.6833,46.49,72,83,16.24
193,Nizhnevartovsk,RU,2022-05-22 02:43:58,60.9344,76.5531,53.62,62,0,13.42
194,Longyearbyen,SJ,2022-05-22 02:46:52,78.2186,15.6401,35.44,75,75,10.36
195,Upernavik,GL,2022-05-22 02:46:52,72.7868,-56.1549,28.44,86,100,2.75
196,Ahipara,NZ,2022-05-22 02:46:52,-35.1667,173.1667,62.94,67,100,12.21
197,Uchiza,PE,2022-05-22 02:46:53,-8.4592,-76.4633,72.19,84,63,2.84
198,Cabedelo,BR,2022-05-22 02:43:15,-6.9811,-34.8339,77.67,88,94,12.39
199,Klaksvik,FO,2022-05-22 02:46:53,62.2266,-6.589,47.32,91,100,14.03
200,Maralal,KE,2022-05-22 02:46:54,1.0968,36.698,56.97,82,100,3.42
201,Lao Cai,VN,2022-05-22 02:46:54,22.4833,103.95,72.91,100,100,1.34
202,Cabo San Lucas,MX,2022-05-22 02:42:54,22.8909,-109.9124,75.61,64,0,10.36
203,Turayf,SA,2022-05-22 02:46:55,31.6725,38.6637,71.85,21,0,16.11
204,Kahului,US,2022-05-22 02:46:55,20.8947,-156.47,86.02,48,20,21.85
205,Tilichiki,RU,2022-05-22 02:46:55,60.4667,166.1,39.34,74,77,4.99
206,Laurentides,CA,2022-05-22 02:46:56,46.4334,-74.9826,52.79,93,14,0.74
207,Westport,US,2022-05-22 02:42:42,41.1415,-73.3579,77.09,86,0,3.44
208,Zomin,UZ,2022-05-22 02:46:56,39.9606,68.3958,51.55,90,100,8.03
209,Paragould,US,2022-05-22 02:43:25,36.0584,-90.4973,67.82,96,100,11.16
210,Rio Grande,BR,2022-05-22 02:44:43,-32.035,-52.0986,47.95,79,100,6.6
211,Te Anau,NZ,2022-05-22 02:46:57,-45.4167,167.7167,47.66,73,79,5.86
212,Durusu,TR,2022-05-22 02:46:57,41.3053,28.6767,58.84,75,3,10.0
213,Zhuhai,CN,2022-05-22 02:46:58,22.2769,113.5678,82.85,88,40,14.97
214,The Valley,AI,2022-05-22 02:46:58,18.217,-63.0578,80.46,71,96,15.68
215,Ahuimanu,US,2022-05-22 02:46:58,21.4447,-157.8378,85.71,67,20,16.11
216,Pucallpa,PE,2022-05-22 02:46:59,-8.3791,-74.5539,72.34,80,21,0.98
217,Birao,CF,2022-05-22 02:46:59,10.2849,22.7882,76.37,67,100,3.2
218,Mushie,CD,2022-05-22 02:47:00,-3.0167,16.9,71.26,96,97,3.06
219,Seredka,RU,2022-05-22 02:47:00,58.1584,28.1858,44.35,69,24,9.4
220,Russell,US,2022-05-22 02:47:00,32.3502,-85.1999,74.8,83,0,4.61
221,Altamira,BR,2022-05-22 02:47:01,-3.2033,-52.2064,70.75,98,88,0.96
222,Dingle,PH,2022-05-22 02:47:01,10.9995,122.6711,84.43,73,100,6.49
223,Biltine,TD,2022-05-22 02:47:01,14.5333,20.9167,80.89,16,41,4.56
224,Thompson,CA,2022-05-22 02:42:15,55.7435,-97.8558,50.16,37,20,3.44
225,Naples,IT,2022-05-22 02:43:16,40.8333,14.25,66.25,84,75,1.14
226,Alofi,NU,2022-05-22 02:47:02,-19.0595,-169.9187,80.49,78,24,8.05
227,Katubao,PH,2022-05-22 02:47:03,5.8892,124.8294,87.78,76,46,5.17
228,Brokopondo,SR,2022-05-22 02:47:03,4.75,-55.1667,75.61,92,100,9.24
229,Ismailia,EG,2022-05-22 02:46:32,30.6043,32.2723,60.49,68,0,7.05
230,Constitucion,CL,2022-05-22 02:48:04,-35.3333,-72.4167,53.26,68,100,4.05
231,Flinders,AU,2022-05-22 02:48:04,-34.5833,150.8552,65.17,79,78,5.01
232,Itaituba,BR,2022-05-22 02:48:04,-4.2761,-55.9836,71.26,97,63,0.69
233,Maniitsoq,GL,2022-05-22 02:48:05,65.4167,-52.9,37.53,82,100,27.6
234,Meadow Lake,US,2022-05-22 02:48:05,34.8014,-106.5436,69.84,22,99,15.41
235,Kanigoro,ID,2022-05-22 02:48:06,-8.13,112.219,84.9,61,29,1.34
236,Porta Westfalica,DE,2022-05-22 02:48:06,52.2378,8.919,48.24,95,98,3.44
237,Liverpool,GB,2022-05-22 02:48:06,53.4106,-2.9779,55.35,75,75,13.8
238,Darnah,LY,2022-05-22 02:48:07,32.767,22.6367,64.35,63,0,18.01
239,Caluquembe,AO,2022-05-22 02:48:07,-13.7833,14.6833,51.26,51,39,1.54
240,Haines Junction,CA,2022-05-22 02:48:08,60.7522,-137.5108,60.75,23,22,12.66
241,Hobyo,SO,2022-05-22 02:48:08,5.3505,48.5268,79.65,78,67,16.96
242,Emerald,AU,2022-05-22 02:48:08,-23.5333,148.1667,72.34,64,90,13.62
243,Soure,BR,2022-05-22 02:48:09,-0.7167,-48.5233,76.71,84,74,4.74
244,Northam,GB,2022-05-22 02:45:04,51.0333,-4.2167,51.62,90,86,7.52
245,Xichang,CN,2022-05-22 02:48:09,27.8964,102.2634,58.6,86,100,1.43
246,Danville,US,2022-05-22 02:45:06,36.586,-79.395,70.34,88,0,4.61
247,Mount Isa,AU,2022-05-22 02:48:10,-20.7333,139.5,76.77,47,40,9.22
248,Petrovsk-Zabaykalskiy,RU,2022-05-22 02:48:10,51.273,108.843,66.06,38,17,10.65
249,Sidney,AU,2022-05-22 02:47:27,-33.8679,151.2073,65.5,80,75,13.8
250,Goderich,CA,2022-05-22 02:48:11,43.7501,-81.7165,55.72,94,100,1.14
251,Dukat,RU,2022-05-22 02:48:11,62.55,155.55,34.63,80,96,6.96
252,Richards Bay,ZA,2022-05-22 02:48:12,-28.783,32.0377,62.26,83,100,20.92
253,Champerico,GT,2022-05-22 02:48:12,14.3,-91.9167,81.48,79,100,4.76
254,Sarwar,IN,2022-05-22 02:48:12,26.0667,75.0,86.32,55,0,20.11
255,Iquitos,PE,2022-05-22 02:48:13,-3.7481,-73.2472,75.24,94,75,0.0
256,Baran,IN,2022-05-22 02:48:13,25.1,76.5167,89.06,49,0,19.17
257,Sovetskiy,RU,2022-05-22 02:48:14,61.3614,63.5842,39.81,92,100,12.39
258,Sharlyk,RU,2022-05-22 02:48:14,52.9167,54.75,39.54,82,93,11.36
259,Port-Gentil,GA,2022-05-22 02:48:14,-0.7193,8.7815,77.74,82,100,13.87
260,Kariba,ZW,2022-05-22 02:48:15,-16.5167,28.8,68.29,46,40,11.97
261,Zyryanskoye,RU,2022-05-22 02:48:15,56.8306,86.6258,64.78,53,11,8.57
262,Weinan,CN,2022-05-22 02:48:16,34.5036,109.5089,87.31,23,57,3.69
263,Le Vauclin,MQ,2022-05-22 02:48:16,14.5452,-60.8388,80.65,78,40,12.66
264,Kavieng,PG,2022-05-22 02:48:16,-2.5744,150.7967,85.23,64,96,13.53
265,Saint-Philippe,RE,2022-05-22 02:48:17,-21.3585,55.7679,67.59,78,26,6.87
266,Vila Franca Do Campo,PT,2022-05-22 02:48:17,37.7167,-25.4333,64.81,96,100,4.61
267,Pinega,RU,2022-05-22 02:48:18,64.7001,43.3936,30.97,71,100,10.98
268,Karratha,AU,2022-05-22 02:48:18,-20.7377,116.8463,80.42,66,100,6.58
